"","drift","bound","ter","sub","condition","alpha","beta","manip","resid","difflevel","fixed_parameter","Npar","time"
"209",0.149065993831777,0.0607426286245859,0.485946781694206,"27","plus",7.92291468569094,0.0329325468894401,"beta",0.00228703002524506,"easy","alpha",4,"all"
"210",0.173683663323117,0.0652399471629706,0.532176757361985,"28","plus",12.6373338426468,-0.380509858295436,"beta",0.00352123061654311,"easy","alpha",4,"all"
"211",0.172222853578416,0.0774407202946396,0.448258296605332,"30","plus",26.0933505768805,-1.4222941155606,"beta",0.00497975360270472,"easy","alpha",4,"all"
"212",0.144388362714759,0.0679181264093014,0.44958954999926,"32","plus",8.5445343238643,-0.028892341283759,"beta",0.00147076077025318,"easy","alpha",4,"all"
"213",0.273405993189249,0.0659749924175393,0.444569493350597,"33","plus",15.0229606356063,-0.260550057577929,"beta",0.00145520651633954,"easy","alpha",4,"all"
"214",0.139467707650773,0.0592724433215377,0.455927240152411,"34","plus",7.90865402289362,0.920274436606015,"beta",0.00154628039031028,"easy","alpha",4,"all"
"215",0.185260201541264,0.067775487565288,0.484657746493128,"35","plus",18.7291116981811,0.415585349989965,"beta",0.00607800742462475,"easy","alpha",4,"all"
"216",0.112269414004927,0.0595332822376345,0.619532062463483,"36","plus",18.8358539105174,-0.218848589747724,"beta",0.00286514930631999,"easy","alpha",4,"all"
"217",0.151610598620771,0.0790434624722046,0.611398173009544,"37","plus",11.558187686903,-0.431761842459432,"beta",0.00376244332039799,"easy","alpha",4,"all"
"218",0.188470683947357,0.0645480546309599,0.471118982073083,"39","plus",6.53489566052887,0.475756366610469,"beta",0.00316317346680301,"easy","alpha",4,"all"
"219",0.145179397389535,0.0614266394355133,0.337737942314041,"40","plus",18.2346248809586,-0.866655363554371,"beta",0.0164045742789416,"easy","alpha",4,"all"
"220",0.190002446677802,0.0770193202117712,0.529016579152933,"41","plus",11.6912109321284,-0.237973297190719,"beta",0.00172888197711884,"easy","alpha",4,"all"
"221",0.249702828347918,0.0980602911762848,0.551733797572444,"42","plus",11.0065850008072,0.369096448840002,"beta",0.00447126438724557,"easy","alpha",4,"all"
