starttime,task,withinblocktrial,block,running,selfconf,difflevel,n_reddots,rt,resp,cor,cresp,conf_press,cj,RTconf,dotsLeft,dotsRight,n_xes,post1,post2,post3,post4,post5,post6,stoptime,sub,age,gender,handedness,
,dotcolour,13,1,training,mediumSC,easy,19,485,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,14,1,training,mediumSC,average,27,435,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,15,1,training,mediumSC,hard,43,368,['n'],0,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,16,1,training,mediumSC,average,54,301,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,17,1,training,mediumSC,easy,62,335,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,18,1,training,mediumSC,hard,42,468,['n'],0,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,19,1,training,mediumSC,average,25,284,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,20,1,training,mediumSC,average,25,569,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,21,1,training,mediumSC,average,27,318,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,22,1,training,mediumSC,hard,35,334,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,23,1,training,mediumSC,hard,45,368,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,0,2,training,mediumSC,easy,65,385,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,1,2,training,mediumSC,hard,41,302,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,2,2,training,mediumSC,average,27,368,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,3,2,training,mediumSC,hard,42,435,['n'],0,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,4,2,training,mediumSC,hard,37,435,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,5,2,training,mediumSC,hard,45,351,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,6,2,training,mediumSC,average,29,518,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,7,2,training,mediumSC,average,53,436,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,8,2,training,mediumSC,easy,19,335,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,9,2,training,mediumSC,average,28,469,['n'],1,right,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,10,2,training,mediumSC,average,54,418,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,11,2,training,mediumSC,hard,45,418,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
,dotcolour,12,2,training,mediumSC,average,52,668,['c'],1,left,none,-99,-99,,,,,,,,,,,43,18,Vrouw,Rechts,
