withinblocktrial,block,running,dotsLeft,dotsRight,rt,resp,cor,cresp,conf_press,cj,RTconf,ev,fb,diff,difflevel,condition,task,manip,sub,age,gender,handedness,
27,0,training,53,27,0.967325399999936,['c'],1,left,['1'],6,0.8428693999999268,[0.11142097],99.0,53,easy,plus,colour,alpha,6,19,V,R,
28,0,training,44,36,1.733317100000022,['c'],1,left,['1'],6,0.7150314999998955,[0.08363732],97.0,44,hard,plus,colour,alpha,6,19,V,R,
29,0,training,36,44,2.283256199999869,['n'],1,right,['8'],3,1.498278499999742,[-0.40795126],100.0,44,hard,plus,colour,alpha,6,19,V,R,
30,0,training,27,53,2.6166465999999673,['c'],0,right,['8'],3,1.1331449000003886,[-0.12566501],1.0,53,easy,plus,colour,alpha,6,19,V,R,
31,0,training,53,27,1.3338722000007692,['c'],1,left,['1'],6,0.40142740000010235,[0.08168656],99.0,53,easy,plus,colour,alpha,6,19,V,R,
32,0,training,53,27,1.1170054000003802,['c'],1,left,['1'],6,0.3646536999995078,[0.16543204],100.0,53,easy,plus,colour,alpha,6,19,V,R,
33,0,training,47,33,0.9001332999996521,['c'],1,left,['1'],6,0.7536317000003692,[0.30902079],100.0,47,medium,plus,colour,alpha,6,19,V,R,
34,0,training,36,44,2.3329751999999644,['n'],1,right,['9'],2,0.701599800000622,[-0.12947006],100.0,44,hard,plus,colour,alpha,6,19,V,R,
35,0,training,27,53,0.9003978000000643,['n'],1,right,['0'],1,0.6127112000003763,[-0.12098331],100.0,53,easy,plus,colour,alpha,6,19,V,R,
0,1,training,36,44,1.1836107999997694,['n'],1,right,['2'],5,2.620094099999733,[-0.28713327],100.0,44,hard,plus,colour,alpha,6,19,V,R,
1,1,training,47,33,0.9500798999997642,['c'],1,left,['1'],6,0.7237933000005796,[0.16591068],100.0,47,medium,plus,colour,alpha,6,19,V,R,
2,1,training,47,33,1.566675899999609,['c'],1,left,['1'],6,1.1675954000002093,[0.01059211],59.0,47,medium,plus,colour,alpha,6,19,V,R,
3,1,training,47,33,6.099736899999698,['n'],0,left,['8'],3,6.052812400000221,[0.66649904],0.0,47,medium,plus,colour,alpha,6,19,V,R,
4,1,training,27,53,2.8665517999997974,['n'],1,right,['1'],6,1.9267704000003505,[-0.51330324],100.0,53,easy,plus,colour,alpha,6,19,V,R,
5,1,training,36,44,0.9333192000003692,['n'],1,right,['1'],6,0.5391897999998037,[-0.09245988],99.0,44,hard,plus,colour,alpha,6,19,V,R,
6,1,training,53,27,1.2834321999998792,['c'],1,left,['1'],6,0.6334814000001643,[0.26802638],100.0,53,easy,plus,colour,alpha,6,19,V,R,
7,1,training,27,53,1.0501283999992665,['n'],1,right,['1'],6,1.277381300000343,[-0.21589654],100.0,53,easy,plus,colour,alpha,6,19,V,R,
8,1,training,33,47,1.71660299999985,['n'],1,right,['1'],6,0.5409613000001627,[0.0110764],37.0,47,medium,plus,colour,alpha,6,19,V,R,
9,1,training,36,44,2.8332210999997187,['n'],1,right,['3'],4,1.0218975999996474,[-0.18223981],100.0,44,hard,plus,colour,alpha,6,19,V,R,
10,1,training,53,27,1.2010449999997945,['c'],1,left,['1'],6,0.36446040000009816,[0.27805752],100.0,53,easy,plus,colour,alpha,6,19,V,R,
11,1,training,47,33,4.116733400000157,['n'],0,left,['1'],6,0.8327878000000055,[0.00560216],44.0,47,medium,plus,colour,alpha,6,19,V,R,
12,1,training,36,44,2.5499613000001773,['c'],0,right,['1'],6,0.8488893000003372,[0.0250469],73.0,44,hard,plus,colour,alpha,6,19,V,R,
13,1,training,27,53,0.9501000999998723,['n'],1,right,['1'],6,0.2879478000004383,[-0.11162525],100.0,53,easy,plus,colour,alpha,6,19,V,R,
14,1,training,44,36,2.400527400000101,['c'],1,left,['9'],2,5.96354650000012,[0.83066402],100.0,44,hard,plus,colour,alpha,6,19,V,R,
15,1,training,44,36,2.2331782000001112,['c'],1,left,['8'],3,1.7063683000005767,[0.41950401],100.0,44,hard,plus,colour,alpha,6,19,V,R,
16,1,training,44,36,1.7660753999998633,['c'],1,left,['8'],3,2.3746454000001904,[0.53836156],100.0,44,hard,plus,colour,alpha,6,19,V,R,
17,1,training,36,44,2.7166382000004887,['c'],0,right,['1'],6,0.8987463000003117,[-0.10939811],2.0,44,hard,plus,colour,alpha,6,19,V,R,
18,1,training,33,47,0.9167746000002808,['n'],1,right,['1'],6,0.28875779999998485,[-0.0424531],94.0,47,medium,plus,colour,alpha,6,19,V,R,
19,1,training,53,27,0.9154013999996096,['c'],1,left,['1'],6,0.27973519999977725,[0.08827256],100.0,53,easy,plus,colour,alpha,6,19,V,R,
20,1,training,27,53,1.1498482999995758,['n'],1,right,['1'],6,0.533976800000346,[-0.17998868],100.0,53,easy,plus,colour,alpha,6,19,V,R,
21,1,training,44,36,4.01582099999996,['c'],1,left,['1'],6,2.775804199999584,[0.26632433],100.0,44,hard,plus,colour,alpha,6,19,V,R,
22,1,training,33,47,0.800947300000189,['n'],1,right,['1'],6,0.31952449999971577,[-0.07402502],99.0,47,medium,plus,colour,alpha,6,19,V,R,
23,1,training,33,47,0.8004381000000649,['n'],1,right,['1'],6,0.297802000000047,[-0.07835971],99.0,47,medium,plus,colour,alpha,6,19,V,R,
24,1,training,44,36,1.1491452999998728,['c'],1,left,['3'],4,3.175424899999598,[0.45736377],100.0,44,hard,plus,colour,alpha,6,19,V,R,
25,1,training,27,53,0.9826721999997972,['n'],1,right,['1'],6,0.3282186999995247,[-0.0910218],100.0,53,easy,plus,colour,alpha,6,19,V,R,
26,1,training,47,33,1.4499272000002748,['c'],1,left,['3'],4,1.4966223999999784,[0.27450128],100.0,47,medium,plus,colour,alpha,6,19,V,R,
27,1,training,33,47,1.1998590000002878,['n'],1,right,['3'],4,0.6117622000001575,[-0.25749125],100.0,47,medium,plus,colour,alpha,6,19,V,R,
28,1,training,36,44,1.934007500000007,['c'],0,right,['3'],4,0.5339136000002327,[-0.01182123],36.0,44,hard,plus,colour,alpha,6,19,V,R,
29,1,training,53,27,2.7330063999997947,['c'],1,left,['1'],6,0.37890249999964,[-0.0073398],39.0,53,easy,plus,colour,alpha,6,19,V,R,
30,1,training,53,27,2.450436300000547,['c'],1,left,['8'],3,6.11288119999972,[1.33107095],100.0,53,easy,plus,colour,alpha,6,19,V,R,
31,1,training,27,53,0.9168835000000399,['n'],1,right,['1'],6,5.149673399999301,[-0.97473562],100.0,53,easy,plus,colour,alpha,6,19,V,R,
32,1,training,47,33,1.1835005000002639,['c'],1,left,['3'],4,2.0388315999998667,[0.31742309],100.0,47,medium,plus,colour,alpha,6,19,V,R,
33,1,training,33,47,1.016383300000598,['n'],1,right,['3'],4,1.6834687000000486,[-0.47771751],100.0,47,medium,plus,colour,alpha,6,19,V,R,
34,1,training,44,36,1.8005755000003774,['c'],1,left,['3'],4,1.26320559999931,[0.02645248],70.0,44,hard,plus,colour,alpha,6,19,V,R,
35,1,training,53,27,1.6170078999994075,['c'],1,left,['1'],6,0.307235799999944,[0.07139449],99.0,53,easy,plus,colour,alpha,6,19,V,R,
0,2,training,47,33,2.400095599999986,['c'],1,left,['1'],6,0.36795040000015433,[0.25076994],100.0,47,medium,plus,colour,alpha,6,19,V,R,
1,2,training,36,44,2.116560400000708,['n'],1,right,['9'],2,1.5723930000003747,[0.02388496],34.0,44,hard,plus,colour,alpha,6,19,V,R,
2,2,training,33,47,5.51632569999947,['c'],0,right,['3'],4,0.6248316999999588,[-0.14007507],0.0,47,medium,plus,colour,alpha,6,19,V,R,
3,2,training,27,53,1.3504520999995293,['n'],1,right,['1'],6,0.6016465000002427,[-0.20319242],100.0,53,easy,plus,colour,alpha,6,19,V,R,
4,2,training,36,44,4.79970030000004,['c'],0,right,['0'],1,4.040731400000368,[-0.10833744],13.0,44,hard,plus,colour,alpha,6,19,V,R,
5,2,training,27,53,1.1663460999998279,['n'],1,right,['0'],1,3.1670537999998487,[-0.41407861],100.0,53,easy,plus,colour,alpha,6,19,V,R,
6,2,training,47,33,1.350700400000278,['n'],0,left,['9'],2,4.049181400000634,[0.72783006],0.0,47,medium,plus,colour,alpha,6,19,V,R,
7,2,training,33,47,1.0833811000002243,['c'],0,right,['1'],6,1.2903304000001299,[0.11591732],98.0,47,medium,plus,colour,alpha,6,19,V,R,
8,2,training,33,47,0.9997961999997642,['n'],1,right,['3'],4,0.7741484999996828,[-0.06471805],93.0,47,medium,plus,colour,alpha,6,19,V,R,
9,2,training,47,33,1.2003843000002234,['c'],1,left,['1'],6,0.5746871999999712,[0.0552386],93.0,47,medium,plus,colour,alpha,6,19,V,R,
10,2,training,53,27,1.3336410000001706,['c'],1,left,['1'],6,0.18576329999996233,[0.07526362],100.0,53,easy,plus,colour,alpha,6,19,V,R,
11,2,training,44,36,1.149104800000714,['c'],1,left,['3'],4,1.804306899999574,[0.16859953],99.0,44,hard,plus,colour,alpha,6,19,V,R,
12,2,training,53,27,8.982640000000174,['c'],1,left,['3'],4,1.7168511999998373,[0.62398918],100.0,53,easy,plus,colour,alpha,6,19,V,R,
13,2,training,36,44,0.9338584999995874,['n'],1,right,['2'],5,1.5058806999995795,[0.14217901],2.0,44,hard,plus,colour,alpha,6,19,V,R,
14,2,training,36,44,1.5333595000001878,['n'],1,right,['8'],3,1.3276945999996315,[-0.31166577],100.0,44,hard,plus,colour,alpha,6,19,V,R,
15,2,training,53,27,1.4169318999993266,['c'],1,left,['1'],6,3.320932300000095,[0.54355074],100.0,53,easy,plus,colour,alpha,6,19,V,R,
16,2,training,44,36,1.4667105000007723,['c'],1,left,['1'],6,0.2244115999992573,[0.03433845],93.0,44,hard,plus,colour,alpha,6,19,V,R,
17,2,training,33,47,1.4665498000003936,['n'],1,right,['1'],6,0.7562725000007049,[-0.26002218],100.0,47,medium,plus,colour,alpha,6,19,V,R,
18,2,training,27,53,1.6506427000003896,['n'],1,right,['1'],6,0.859218100000362,[-0.24253351],100.0,53,easy,plus,colour,alpha,6,19,V,R,
19,2,training,36,44,2.4338894000002256,['n'],1,right,['3'],4,2.607383999999911,[-0.1494685],97.0,44,hard,plus,colour,alpha,6,19,V,R,
20,2,training,33,47,2.2162466999998287,['n'],1,right,['2'],5,1.9253638999998657,[-0.28708373],100.0,47,medium,plus,colour,alpha,6,19,V,R,
21,2,training,27,53,1.2495742999999493,['n'],1,right,['8'],3,1.1652001000002201,[-0.22952934],100.0,53,easy,plus,colour,alpha,6,19,V,R,
22,2,training,47,33,1.2161605999999665,['c'],1,left,['2'],5,2.0210948000003555,[0.45137333],100.0,47,medium,plus,colour,alpha,6,19,V,R,
23,2,training,33,47,1.3330038000003697,['n'],1,right,['0'],1,2.2942039999998087,[-0.2681282],100.0,47,medium,plus,colour,alpha,6,19,V,R,
24,2,training,47,33,1.0996758000001137,['c'],1,left,['1'],6,1.1414625000006708,[0.20046487],100.0,47,medium,plus,colour,alpha,6,19,V,R,
25,2,training,53,27,1.5002377000000706,['c'],1,left,['1'],6,0.7393203000001449,[0.19781863],100.0,53,easy,plus,colour,alpha,6,19,V,R,
26,2,training,53,27,3.749445999999807,['c'],1,left,['2'],5,0.6311303000002226,[0.28541094],100.0,53,easy,plus,colour,alpha,6,19,V,R,
27,2,training,44,36,1.6164645999997447,['c'],1,left,['2'],5,0.693335300000399,[-0.07522815],4.0,44,hard,plus,colour,alpha,6,19,V,R,
28,2,training,53,27,1.1497658000007505,['c'],1,left,['1'],6,0.2268989000003785,[0.17913569],100.0,53,easy,plus,colour,alpha,6,19,V,R,
29,2,training,44,36,3.3001179000002594,['n'],0,left,['0'],1,1.2135596999996778,[-0.04810083],83.0,44,hard,plus,colour,alpha,6,19,V,R,
30,2,training,44,36,1.4830525999996098,['c'],1,left,['1'],6,0.40866150000056223,[0.00470968],57.0,44,hard,plus,colour,alpha,6,19,V,R,
31,2,training,36,44,3.0662641999997504,['n'],1,right,['9'],2,4.8690825000003315,[-0.57159459],100.0,44,hard,plus,colour,alpha,6,19,V,R,
32,2,training,44,36,3.066661099999692,['c'],1,left,['8'],3,2.1424778999999035,[0.07152966],85.0,44,hard,plus,colour,alpha,6,19,V,R,
33,2,training,27,53,1.1498681000002762,['n'],1,right,['1'],6,0.2096587999994881,[-0.0320411],93.0,53,easy,plus,colour,alpha,6,19,V,R,
34,2,training,27,53,1.1173022000002675,['n'],1,right,['2'],5,0.8838341999999102,[-0.29515822],100.0,53,easy,plus,colour,alpha,6,19,V,R,
35,2,training,47,33,2.066295800000262,['n'],0,left,['2'],5,0.613094700000147,[-0.07388992],97.0,47,medium,plus,colour,alpha,6,19,V,R,
0,3,main,47,33,2.8005786000003354,['n'],0,left,['2'],5,5.6247534000003725,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
1,3,main,53,27,0.8502768999996988,['c'],1,left,['2'],5,0.6310504000002766,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
2,3,main,33,47,1.3173446000000695,['n'],1,right,['8'],3,4.5855719000001045,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
3,3,main,47,33,0.7668952000003628,['c'],1,left,['1'],6,0.29194339999958174,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
4,3,main,27,53,0.8157962999994197,['n'],1,right,['1'],6,0.24858009999934438,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
5,3,main,47,33,1.1166969000005338,['c'],1,left,['1'],6,0.2738152000001719,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
6,3,main,27,53,0.8337451999996119,['n'],1,right,['1'],6,0.21393480000006093,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
7,3,main,36,44,2.6331405000000814,['n'],1,right,['2'],5,0.7565583999994487,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
8,3,main,53,27,0.9176657999996678,['c'],1,left,['1'],6,0.19419470000048022,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
9,3,main,44,36,2.8502738000006502,['c'],1,left,['3'],4,0.7770092000000659,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
10,3,main,33,47,0.8001442999993742,['n'],1,right,['1'],6,0.3625867000000653,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
11,3,main,36,44,2.0001595999992787,['n'],1,right,['3'],4,1.0842561999997997,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
12,3,main,27,53,3.116525599999477,['n'],1,right,['8'],3,2.6130590000002485,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
13,3,main,36,44,1.5336764000003313,['n'],1,right,['2'],5,1.103566800000408,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
14,3,main,27,53,1.5333454999999958,['n'],1,right,['8'],3,1.606468699999823,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
15,3,main,33,47,0.6338154000004579,['n'],1,right,['1'],6,0.30183729999953357,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
16,3,main,36,44,2.6995311000000584,['c'],0,right,['9'],2,2.789811199999349,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
17,3,main,47,33,2.1333490999995774,['c'],1,left,['2'],5,0.8658261999999013,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
18,3,main,44,36,1.8001962999996977,['c'],1,left,['8'],3,0.42374569999992673,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
19,3,main,27,53,3.6664509000002,['c'],0,right,['8'],3,1.0288874000007127,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
20,3,main,47,33,0.983697900000152,['c'],1,left,['2'],5,0.564544200000455,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
21,3,main,53,27,1.1333844000000681,['c'],1,left,['1'],6,0.5289316999997027,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
22,3,main,44,36,4.649640100000397,['n'],0,left,['8'],3,1.5863196999998763,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
23,3,main,36,44,2.3831137999995917,['n'],1,right,['2'],5,0.5001142000000982,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
24,3,main,36,44,2.249513900000238,['n'],1,right,['8'],3,0.6622932000000219,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
25,3,main,44,36,1.433483800000431,['n'],0,left,['0'],1,2.3867403999993257,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
26,3,main,44,36,1.3499221000001853,['c'],1,left,['2'],5,0.7020468999999139,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
27,3,main,53,27,1.0164419000002454,['c'],1,left,['1'],6,0.26561409999976604,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
28,3,main,33,47,1.08370289999948,['n'],1,right,['8'],3,2.0198664999998073,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
29,3,main,53,27,0.9839327999998204,['c'],1,left,['2'],5,0.46026199999960227,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
30,3,main,33,47,1.2000485999997181,['n'],1,right,['2'],5,0.522353800000019,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
31,3,main,33,47,0.8332060000002457,['n'],1,right,['2'],5,0.22886749999997846,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
32,3,main,27,53,0.6674862999998368,['n'],1,right,['2'],5,0.22501549999924464,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
33,3,main,47,33,1.1335379000001922,['c'],1,left,['3'],4,1.4351447999997617,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
34,3,main,53,27,1.1336670999999114,['c'],1,left,['3'],4,0.6930431000000681,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
35,3,main,44,36,3.0160812000003716,['c'],1,left,['1'],6,0.28940479999982927,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
0,4,main,36,44,1.2171674999999595,['n'],1,right,['2'],5,1.692632400000548,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
1,4,main,33,47,0.750193599999875,['n'],1,right,['2'],5,0.8751532000005682,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
2,4,main,36,44,1.2331678000000466,['c'],0,right,['1'],6,0.18356129999938275,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
3,4,main,36,44,0.7837074000008215,['n'],1,right,['2'],5,0.7853096999997433,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
4,4,main,27,53,0.7835822999995798,['n'],1,right,['2'],5,0.29042740000022604,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
5,4,main,33,47,1.6332291999997324,['n'],1,right,['2'],5,0.550307999999859,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
6,4,main,47,33,1.0167621999999028,['c'],1,left,['1'],6,0.21563639999931183,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
7,4,main,53,27,1.2500106999996206,['c'],1,left,['1'],6,0.15748979999989388,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
8,4,main,47,33,2.0493297000002713,['c'],1,left,['1'],6,0.213796199999706,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
9,4,main,33,47,3.0329623000006904,['n'],1,right,['8'],3,0.9481295000005048,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
10,4,main,53,27,0.8667899000001853,['c'],1,left,['1'],6,0.07596670000020822,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
11,4,main,53,27,0.7835145000008197,['c'],1,left,['1'],6,0.4418157999998584,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
12,4,main,47,33,5.416832100000647,['c'],1,left,['1'],6,0.8008838999994623,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
13,4,main,27,53,1.06673469999987,['n'],1,right,['1'],6,0.19839059999958408,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
14,4,main,33,47,0.6331216999997196,['n'],1,right,['1'],6,0.13373419999970793,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
15,4,main,27,53,0.8168562000000748,['n'],1,right,['1'],6,0.2556748000006337,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
16,4,main,44,36,0.9830731000001833,['c'],1,left,['1'],6,0.22276909999982308,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
17,4,main,44,36,1.733009800000218,['n'],0,left,['3'],4,2.768972300000314,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
18,4,main,47,33,0.9832385999998223,['c'],1,left,['3'],4,0.31517389999953593,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
19,4,main,36,44,1.316704199999549,['n'],1,right,['3'],4,1.0821134999996502,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
20,4,main,47,33,2.3335800000004383,['n'],0,left,['3'],4,1.825948800000333,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
21,4,main,44,36,1.1170277000001079,['c'],1,left,['1'],6,0.22113939999962895,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
22,4,main,53,27,1.0668246999994153,['c'],1,left,['2'],5,0.8418814000006023,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
23,4,main,36,44,1.716809500000636,['n'],1,right,['2'],5,1.0603080999999293,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
24,4,main,44,36,2.849996499999179,['n'],0,left,['3'],4,0.6966843999998673,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
25,4,main,33,47,1.9504938000000038,['c'],0,right,['3'],4,1.0870184999994308,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
26,4,main,53,27,1.250384899999517,['c'],1,left,['3'],4,0.7701280999999653,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
27,4,main,33,47,1.199672300000202,['n'],1,right,['2'],5,0.30791510000017297,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
28,4,main,36,44,1.0159868999999162,['n'],1,right,['2'],5,0.8957055999999284,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
29,4,main,44,36,1.4998113000001467,['c'],1,left,['3'],4,1.0877639999998792,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
30,4,main,53,27,1.050851999999395,['n'],0,left,['0'],1,1.4986252999997305,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
31,4,main,27,53,1.933850800000073,['n'],1,right,['1'],6,0.8497692000000825,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
32,4,main,47,33,0.9839826000006724,['c'],1,left,['1'],6,0.6329308999993373,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
33,4,main,27,53,2.5161395999994056,['n'],1,right,['0'],1,1.227362899999207,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
34,4,main,27,53,1.4338369999995848,['n'],1,right,['2'],5,1.0260036999998192,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
35,4,main,44,36,2.582625399999415,['c'],1,left,['3'],4,1.0423501999994187,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
0,5,main,36,44,0.8003763999995499,['n'],1,right,['2'],5,0.47325199999977485,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
1,5,main,33,47,1.0836575000002995,['n'],1,right,['2'],5,0.9068919999999707,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
2,5,main,36,44,0.9008274999996502,['n'],1,right,['2'],5,0.5638265999996293,-99,-99,44,hard,plus,colour,alpha,6,19,V,R,
3,5,main,53,27,1.083892200000264,['c'],1,left,['2'],5,3.6820608999996693,-99,-99,53,easy,plus,colour,alpha,6,19,V,R,
4,5,main,33,47,3.6669843999998193,['c'],0,right,['2'],5,0.5247151999992639,-99,-99,47,medium,plus,colour,alpha,6,19,V,R,
